Unnamed: 0,2021-06-14 20:11:51.400090,2021-06-15 12:24:28.087918,2021-06-17 17:00:21.483857,2021-06-17 17:05:02.156113,2021-06-18 13:05:02.816042,2021-06-19 09:06:51.224857
"82, Billie Eilish, WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","82, Billie Eilish, WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","82, Billie Eilish, WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","82, Billie Eilish, WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","82, Billie Eilish, WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","82, Billie Eilish, WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","82, Billie Eilish, WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
"83, Пошлая Молли, 8 способов как бросить…","83, Пошлая Молли, 8 способов как бросить…","83, Пошлая Молли, 8 способов как бросить…","83, Пошлая Молли, 8 способов как бросить…","83, Пошлая Молли, 8 способов как бросить…","83, Пошлая Молли, 8 способов как бросить…","83, Пошлая Молли, 8 способов как бросить…"
"84, Ramil', Хочешь со мной","84, Ramil', Хочешь со мной","84, Ramil', Хочешь со мной","84, Ramil', Хочешь со мной","84, Ramil', Хочешь со мной","84, Ramil', Хочешь со мной","84, Ramil', Хочешь со мной"
"85, PHARAOH, Million Dollar Depression","85, PHARAOH, Million Dollar Depression","85, PHARAOH, Million Dollar Depression","85, PHARAOH, Million Dollar Depression","85, PHARAOH, Million Dollar Depression","85, PHARAOH, Million Dollar Depression","85, PHARAOH, Million Dollar Depression"
"86, Баста, 40","86, Баста, 40","86, Баста, 40","86, Баста, 40","86, Баста, 40","86, Баста, 40","86, Баста, 40"
"87, T-Fest, Иностранец","87, T-Fest, Иностранец","87, T-Fest, Иностранец","87, T-Fest, Иностранец","87, T-Fest, Иностранец","87, T-Fest, Иностранец","87, T-Fest, Иностранец"
"88, OG Buda, SEXY DRILL","88, OG Buda, SEXY DRILL","88, OG Buda, SEXY DRILL","88, OG Buda, SEXY DRILL","88, OG Buda, SEXY DRILL","88, OG Buda, SEXY DRILL","88, OG Buda, SEXY DRILL"
"89, LIZER, Не Ангел","89, LIZER, Не Ангел","89, LIZER, Не Ангел","89, LIZER, Не Ангел","89, LIZER, Не Ангел","89, LIZER, Не Ангел","89, LIZER, Не Ангел"
"90, ЛСП, One More City","90, ЛСП, One More City","90, ЛСП, One More City","90, ЛСП, One More City","90, ЛСП, One More City","90, ЛСП, One More City","90, ЛСП, One More City"
"91, lil krystalll, NO LABEL","91, lil krystalll, NO LABEL","91, lil krystalll, NO LABEL","91, lil krystalll, NO LABEL","91, lil krystalll, NO LABEL","91, lil krystalll, NO LABEL","91, lil krystalll, NO LABEL"
